Date,Time,Userid_From,Name_From,Message,Userid_To,At,Post_Category,Channel,To_Channel
7/17/18,14:57:42,U1YKMC1QD,,"<@UBMMLALTE>,  I agree with that -- asking questions and developing physical intuition is much easier if you're not confined to the few things that can be done analytically, or if students can only interact with phenomenology mediated by pages and pages of algebra",UBMMLALTE,,0,whywedothis,FALSE
7/17/18,15:18:13,UBQ5PDK8Q,,"<@U1YKMC1QD> is that a result from one of the Exercise Sets on the PICUP site, or is this from an MM platform?",U1YKMC1QD,,0,whywedothis,FALSE
7/30/18,21:53:02,U1YKMC1QD,,"PICUP generally has focused on facilitating computational learning, rather than assessing its effects in rigorous ways, I think. But if anyone konws it's <@U1YCYCK61>",U1YCYCK61,,0,whywedothis,FALSE
8/2/18,9:25:24,U1YKEP2PQ,,"<@U9N0B9JFR> There hasn't been tons, but these articles might (partially) answer your question.  Both compare students using a M&amp;I treatment to a traditional treatment in intro mechanics <https://journals.aps.org/prper/abstract/10.1103/PhysRevSTPER.10.020125> and intro E&amp;M <https://journals.aps.org/prper/abstract/10.1103/PhysRevSTPER.5.020105> <@U1YCYCK61> can definitely give you more context.",U1YCYCK61,,0,whywedothis,FALSE
8/2/18,9:25:24,U1YKEP2PQ,,"<@U9N0B9JFR> There hasn't been tons, but these articles might (partially) answer your question.  Both compare students using a M&amp;I treatment to a traditional treatment in intro mechanics <https://journals.aps.org/prper/abstract/10.1103/PhysRevSTPER.10.020125> and intro E&amp;M <https://journals.aps.org/prper/abstract/10.1103/PhysRevSTPER.5.020105> <@U1YCYCK61> can definitely give you more context.",U9N0B9JFR,,0,whywedothis,FALSE
8/2/18,9:26:47,U9N0B9JFR,,Thank you <@U1YKEP2PQ>,U1YKEP2PQ,,0,whywedothis,FALSE
8/2/18,9:29:51,U1YCYCK61,,<@U9N0B9JFR> its an active area of research for me and my group at MSU. We have some papers on ArXiV (published elsewhere) describing what we have found so far.,U9N0B9JFR,,0,whywedothis,FALSE
8/2/18,14:26:05,U4LPDPNM9,,"<@UBN8AAZS7> It may have been posted somewhere already, but the AAPT came out with a set of recommendations for computational physics at the undergrad level. To specifically answer your question, check out Appendix B. It is pretty exhausitve list of potential learning goals related to computational physics. <https://aapt.org/Resources/upload/AAPT_UCTF_CompPhysReport_final_B.pdf>",UBN8AAZS7,,0,whywedothis,FALSE
8/2/18,16:21:56,UBN8AAZS7,,"Thanks <@U4LPDPNM9>. This is a very important document. I was hoping, however, for something more like, by learning computational physics skill x, you will understand physics phenomenon y in a way that wasn’t possible (or very difficult) without it.",U4LPDPNM9,,0,whywedothis,FALSE
8/2/18,16:23:37,UBN8AAZS7,,The kind that <@U1YKMC1QD> imagined would “demolish” students in traditional curriculum courses.,U1YKMC1QD,,0,whywedothis,FALSE
7/17/18,12:39:56,U1YKMC1QD,,<@U1YKMC1QD> has joined the channel,UBNVC491V,,joined,whywedothis,TRUE
7/17/18,12:39:56,U1YKMC1QD,,<@U1YKMC1QD> set the channel description: A discussion of the end goals for integrating computation into the curriculum,UBNVC491V,,norm,whywedothis,TRUE
